,T,Training Error,Training Error %,Testing Error,Testing Error %
464,464,2903,58.06,2929,58.58
465,465,1648,32.96,1660,33.2
466,466,3322,66.44,3317,66.34
467,467,1648,32.96,1660,33.2
468,468,3322,66.44,3317,66.34
469,469,4319,86.38,4308,86.16
470,470,839,16.78,858,17.16
471,471,4374,87.48,4353,87.06
472,472,1503,30.06,1508,30.159999999999997
473,473,4244,84.88,4236,84.72
474,474,4319,86.38,4308,86.16
475,475,1363,27.26,1397,27.939999999999998
476,476,2517,50.339999999999996,2456,49.120000000000005
477,477,4319,86.38,4308,86.16
478,478,724,14.48,761,15.22
479,479,3280,65.60000000000001,3296,65.92
480,480,726,14.52,772,15.440000000000001
481,481,4374,87.48,4353,87.06
482,482,4319,86.38,4308,86.16
483,483,596,11.92,624,12.479999999999999
484,484,3349,66.97999999999999,3326,66.52
485,485,1883,37.66,1920,38.4
486,486,3686,73.72,3692,73.83999999999999
487,487,596,11.92,624,12.479999999999999
488,488,3592,71.84,3620,72.39999999999999
489,489,3875,77.5,3859,77.18
490,490,596,11.92,624,12.479999999999999
491,491,3019,60.38,2993,59.86
492,492,2600,52.0,2578,51.559999999999995
493,493,2238,44.76,2307,46.14
494,494,2500,50.0,2516,50.32
495,495,3382,67.64,3338,66.75999999999999
496,496,2134,42.68,2195,43.9
497,497,2836,56.720000000000006,2782,55.64
498,498,2134,42.68,2195,43.9
499,499,2836,56.720000000000006,2782,55.64
