,T,Training Error,Training Error %,Testing Error,Testing Error %
414,414,514,10.280000000000001,537,10.74
415,415,514,10.280000000000001,537,10.74
416,416,514,10.280000000000001,537,10.74
417,417,514,10.280000000000001,537,10.74
418,418,514,10.280000000000001,537,10.74
419,419,514,10.280000000000001,537,10.74
420,420,514,10.280000000000001,537,10.74
421,421,514,10.280000000000001,537,10.74
422,422,514,10.280000000000001,537,10.74
423,423,514,10.280000000000001,537,10.74
424,424,514,10.280000000000001,537,10.74
425,425,514,10.280000000000001,537,10.74
426,426,514,10.280000000000001,537,10.74
427,427,514,10.280000000000001,537,10.74
428,428,514,10.280000000000001,537,10.74
429,429,514,10.280000000000001,537,10.74
430,430,514,10.280000000000001,537,10.74
431,431,514,10.280000000000001,537,10.74
432,432,514,10.280000000000001,537,10.74
433,433,514,10.280000000000001,537,10.74
434,434,514,10.280000000000001,537,10.74
435,435,514,10.280000000000001,537,10.74
436,436,514,10.280000000000001,537,10.74
437,437,514,10.280000000000001,537,10.74
438,438,514,10.280000000000001,537,10.74
439,439,514,10.280000000000001,537,10.74
440,440,514,10.280000000000001,537,10.74
441,441,514,10.280000000000001,537,10.74
442,442,514,10.280000000000001,537,10.74
443,443,514,10.280000000000001,537,10.74
444,444,514,10.280000000000001,537,10.74
445,445,514,10.280000000000001,537,10.74
446,446,514,10.280000000000001,537,10.74
447,447,514,10.280000000000001,537,10.74
448,448,514,10.280000000000001,537,10.74
449,449,514,10.280000000000001,537,10.74
450,450,514,10.280000000000001,537,10.74
451,451,514,10.280000000000001,537,10.74
452,452,514,10.280000000000001,537,10.74
453,453,514,10.280000000000001,537,10.74
454,454,514,10.280000000000001,537,10.74
455,455,514,10.280000000000001,537,10.74
456,456,514,10.280000000000001,537,10.74
457,457,514,10.280000000000001,537,10.74
458,458,514,10.280000000000001,537,10.74
459,459,514,10.280000000000001,537,10.74
460,460,514,10.280000000000001,537,10.74
461,461,514,10.280000000000001,537,10.74
462,462,514,10.280000000000001,537,10.74
463,463,514,10.280000000000001,537,10.74
464,464,514,10.280000000000001,537,10.74
465,465,514,10.280000000000001,537,10.74
466,466,514,10.280000000000001,537,10.74
467,467,514,10.280000000000001,537,10.74
468,468,514,10.280000000000001,537,10.74
469,469,514,10.280000000000001,537,10.74
470,470,514,10.280000000000001,537,10.74
471,471,514,10.280000000000001,537,10.74
472,472,514,10.280000000000001,537,10.74
473,473,514,10.280000000000001,537,10.74
474,474,514,10.280000000000001,537,10.74
475,475,514,10.280000000000001,537,10.74
476,476,514,10.280000000000001,537,10.74
477,477,514,10.280000000000001,537,10.74
478,478,514,10.280000000000001,537,10.74
479,479,514,10.280000000000001,537,10.74
480,480,514,10.280000000000001,537,10.74
481,481,514,10.280000000000001,537,10.74
482,482,514,10.280000000000001,537,10.74
483,483,514,10.280000000000001,537,10.74
484,484,514,10.280000000000001,537,10.74
485,485,514,10.280000000000001,537,10.74
486,486,514,10.280000000000001,537,10.74
487,487,514,10.280000000000001,537,10.74
488,488,514,10.280000000000001,537,10.74
489,489,514,10.280000000000001,537,10.74
490,490,514,10.280000000000001,537,10.74
491,491,514,10.280000000000001,537,10.74
492,492,514,10.280000000000001,537,10.74
493,493,514,10.280000000000001,537,10.74
494,494,514,10.280000000000001,537,10.74
495,495,514,10.280000000000001,537,10.74
496,496,514,10.280000000000001,537,10.74
497,497,514,10.280000000000001,537,10.74
498,498,514,10.280000000000001,537,10.74
499,499,514,10.280000000000001,537,10.74
